,gauge,accDepth_DAP,rainCode,intensityCode_a,timeCode_a,dataType,rainStartTime,timeStamp
205,83,3.048,0,0.0,0.0,a,1964-07-20 14:15:00,1964-07-20 14:32:00
206,83,0.0,0,0.0,0.0,a,1964-07-20 20:00:00,1964-07-20 20:00:00
207,83,2.54,0,2.0,0.0,a,1964-07-20 20:00:00,1964-07-20 20:35:00
208,83,0.0,0,0.0,0.0,a,1964-07-20 22:55:00,1964-07-20 22:55:00
209,83,2.032,0,0.0,0.0,a,1964-07-20 22:55:00,1964-07-20 23:00:00
210,83,3.81,0,0.0,0.0,a,1964-07-20 22:55:00,1964-07-20 23:05:00
211,83,5.08,0,0.0,0.0,a,1964-07-20 22:55:00,1964-07-20 23:15:00
212,83,0.0,0,0.0,0.0,a,1964-07-22 18:45:00,1964-07-22 18:45:00
213,83,5.08,0,0.0,0.0,a,1964-07-22 18:45:00,1964-07-22 18:53:00
214,83,13.208,0,0.0,0.0,a,1964-07-22 18:45:00,1964-07-22 18:59:00
215,83,21.844,0,0.0,0.0,a,1964-07-22 18:45:00,1964-07-22 19:10:00
216,83,0.0,0,0.0,0.0,a,1964-07-22 23:40:00,1964-07-22 23:40:00
217,83,3.302,0,0.0,0.0,a,1964-07-22 23:40:00,1964-07-22 23:52:00
218,83,5.334,0,0.0,0.0,a,1964-07-22 23:40:00,1964-07-22 23:55:00
219,83,5.588,0,0.0,0.0,a,1964-07-22 23:40:00,1964-07-23 00:00:00
220,83,6.096,0,0.0,0.0,a,1964-07-22 23:40:00,1964-07-23 00:47:00
221,83,7.874,0,0.0,0.0,a,1964-07-22 23:40:00,1964-07-23 01:46:00
222,83,9.398,0,0.0,0.0,a,1964-07-22 23:40:00,1964-07-23 02:24:00
223,83,9.906,0,0.0,0.0,a,1964-07-22 23:40:00,1964-07-23 03:19:00
224,83,14.224,0,0.0,0.0,a,1964-07-22 23:40:00,1964-07-23 04:17:00
225,83,0.0,0,0.0,0.0,a,1964-07-24 16:00:00,1964-07-24 16:00:00
226,83,1.27,0,2.0,0.0,a,1964-07-24 16:00:00,1964-07-24 16:30:00
227,83,0.0,0,0.0,0.0,a,1964-07-25 13:00:00,1964-07-25 13:00:00
228,83,1.27,0,0.0,0.0,a,1964-07-25 13:00:00,1964-07-25 13:05:00
229,83,3.81,0,0.0,0.0,a,1964-07-25 13:00:00,1964-07-25 13:30:00
230,83,4.064,0,0.0,0.0,a,1964-07-25 13:00:00,1964-07-25 13:45:00
231,83,0.0,0,0.0,0.0,a,1964-07-29 20:00:00,1964-07-29 20:00:00
232,83,1.27,0,0.0,0.0,a,1964-07-29 20:00:00,1964-07-29 20:30:00
233,83,3.048,0,0.0,0.0,a,1964-07-29 20:00:00,1964-07-29 21:00:00
234,83,0.0,0,0.0,0.0,a,1964-07-30 04:00:00,1964-07-30 04:00:00
235,83,0.508,0,2.0,0.0,a,1964-07-30 04:00:00,1964-07-30 04:15:00
236,83,0.0,0,0.0,0.0,a,1964-07-31 03:30:00,1964-07-31 03:30:00
237,83,1.778,0,0.0,0.0,a,1964-07-31 03:30:00,1964-07-31 04:02:00
238,83,4.064,0,0.0,0.0,a,1964-07-31 03:30:00,1964-07-31 04:38:00
239,83,6.096,0,0.0,0.0,a,1964-07-31 03:30:00,1964-07-31 05:07:00
240,83,8.128,0,0.0,0.0,a,1964-07-31 03:30:00,1964-07-31 05:39:00
241,83,10.16,0,0.0,0.0,a,1964-07-31 03:30:00,1964-07-31 06:03:00
242,83,11.43,0,0.0,0.0,a,1964-07-31 03:30:00,1964-07-31 06:31:00
243,83,0.0,0,0.0,0.0,a,1964-07-31 12:10:00,1964-07-31 12:10:00
244,83,2.032,0,0.0,0.0,a,1964-07-31 12:10:00,1964-07-31 14:15:00
245,83,5.588,0,0.0,0.0,a,1964-07-31 12:10:00,1964-07-31 14:22:00
246,83,8.636,0,0.0,0.0,a,1964-07-31 12:10:00,1964-07-31 14:28:00
